Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2021-09-08;01:47:46;16.98;-99.77;10; ;Mw;7.0;GUERRERO, MEXICO;2021-09-08 02:18;1032981;
2021-08-31;02:52:49;-29.99;-177.35;10; ;Mw;6.3;KERMADEC ISLANDS, NEW ZEALAND;2021-08-31 06:43;1030082;
2021-08-24;05:37:50;48.80;154.92;30;f;Mw;6.1;KURIL ISLANDS;2021-08-24 06:52;1027695;
2021-08-22;21:33:20;-60.32;-24.99;10;f;Mw;7.0;SOUTH SANDWICH ISLANDS REGION;2021-08-22 21:53;1027234;
2021-08-22;00:45:08;-60.17;-24.43;10; ;Mw;6.9;SOUTH SANDWICH ISLANDS REGION;2021-08-22 01:01;1026928;
2021-08-18;10:10:05;-14.87;167.16;100; ;Mw;6.9;VANUATU;2021-08-18 11:23;1025469;
2021-08-17;17:53:28;-58.04;-25.60;45; ;Mw;6.1;SOUTH SANDWICH ISLANDS REGION;2021-08-18 06:36;1025114;
2021-08-16;11:10:36;-58.44;-23.45;10; ;Mw;6.9;SOUTH SANDWICH ISLANDS REGION;2021-08-16 11:34;1024412;
2021-08-14;12:29:09;18.36;-73.48;10;f;Mw;7.2;HAITI REGION;2021-08-14 13:53;1023410;
2021-08-14;11:57:42;55.32;-157.71;10; ;Mw;7.0;ALASKA PENINSULA;2021-08-16 08:29;1023362;
2021-08-13;10:34:28;-60.51;-27.17;10; ;Mw;6.3;SOUTH SANDWICH ISLANDS REGION;2021-08-13 12:24;1022942;
2021-08-12;19:44:55;-59.91;-26.47;60; ;Mw;6.2;SOUTH SANDWICH ISLANDS REGION;2021-08-13 13:32;1022616;
2021-08-12;18:35:20;-58.52;-25.26;60; ;Mw;8.1;SOUTH SANDWICH ISLANDS REGION;2021-08-16 08:25;1023153;
2021-08-12;18:32:55;-57.57;-25.46;60; ;Mw;7.5;SOUTH SANDWICH ISLANDS REGION;2021-08-16 08:21;1022582;
2021-08-11;17:46:13;6.54;126.73;57; ;Mw;7.1;MINDANAO, PHILIPPINES;2021-08-16 08:17;1022202;
2021-08-03;03:42:35;8.94;94.02;10;f;Mw;6.1;NICOBAR ISLANDS, INDIA REGION;2021-08-03 07:03;1018049;
2021-08-02;05:01:21;-4.46;134.02;10; ;Mw;6.1;NEAR S COAST OF PAPUA, INDONESIA;2021-08-02 07:02;1016229;
2021-07-30;17:10:19;-4.93;-80.68;36; ;Mw;6.1;PERU-ECUADOR BORDER REGION;2021-07-31 08:57;1015180;
2021-07-29;06:23:31;55.50;-157.53;44; ;mb;6.3;ALASKA PENINSULA;2021-07-29 07:11;1014596;
2021-07-29;06:19:25;55.06;-158.13;27; ;mb;6.1;ALASKA PENINSULA;2021-07-29 07:14;1014612;
2021-07-29;06:15:50;55.54;-158.01;43; ;Mw;8.2;ALASKA PENINSULA;2021-07-29 08:03;1014588;
2021-07-26;12:09:06;-0.65;121.94;10;f;Mw;6.2;SULAWESI, INDONESIA;2021-07-26 12:27;1013693;
2021-07-24;12:51:27;-30.15;-176.77;2; ;Mw;6.0;KERMADEC ISLANDS REGION;2021-07-24 19:46;1013035;
2021-07-23;20:48:58;13.73;120.77;118; ;Mw;6.7;MINDORO, PHILIPPINES;2021-07-23 21:09;1012793;
2021-07-21;21:15:14;7.37;-82.86;19; ;Mw;6.7;SOUTH OF PANAMA;2021-07-22 08:01;1011910;
2021-07-17;20:56:11;6.84;-82.63;13; ;Mw;6.1;SOUTH OF PANAMA;2021-07-18 14:59;1010620;
2021-07-10;00:43:57;2.98;126.56;60; ;Mw;6.3;MOLUCCA SEA;2021-07-10 09:20;1008043;
2021-07-08;22:49:49;38.51;-119.52;10;f;Mw;6.0;CENTRAL CALIFORNIA;2021-07-09 05:51;1007548;
2021-07-04;01:29:12;-28.71;-71.58;2; ;Mw;6.0;OFFSHORE ATACAMA, CHILE;2021-07-04 11:53;1006152;
2021-07-04;01:01:35;-28.74;-71.50;10; ;Mw;6.0;OFFSHORE ATACAMA, CHILE;2021-07-05 08:39;1006131;
2021-06-21;11:14:12;-30.38;-177.55;26; ;Mw;6.0;KERMADEC ISLANDS, NEW ZEALAND;2021-06-21 12:30;1000928;
2021-06-20;17:05:48;-30.40;-177.81;10;f;Mw;6.3;KERMADEC ISLANDS, NEW ZEALAND;2021-06-20 17:26;1000676;
2021-06-03;10:09:55;0.33;126.23;10; ;Mw;6.1;MOLUCCA SEA;2021-06-03 12:32;992164;
2021-05-31;06:59:54;62.47;-148.23;61;f;Mw;6.1;CENTRAL ALASKA;2021-05-31 07:56;991027;
2021-05-21;22:13:18;-16.64;-177.34;10;f;Mw;6.5;FIJI REGION;2021-05-22 08:27;987215;
2021-05-21;18:04:14;34.58;98.36;10;f;Mw;7.4;SOUTHERN QINGHAI, CHINA;2021-05-21 18:31;987151;
2021-05-21;13:48:37;25.74;100.05;12; ;Mw;6.1;YUNNAN, CHINA;2021-05-21 14:50;987101;
